,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,lat_long,jarak_simpanglima,jarak_bandara,jarak_stasiun
29,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,30.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
30,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,30.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
31,235000000,110.42865,-7.08514,"Banyumanik, Semarang",70,30.0,2,1,1,0,1,50266,no,no,no,"-7.08514,110.42865",10.52166459335968,12.96234273217946,12.51767049339646
32,235000000,110.30158,-7.00234,"Ngaliyan, Semarang",102,30.0,2,1,1,0,0,50185,no,no,no,"-7.00234,110.30158",13.47495794397374,8.883079355300815,12.93009738658957
33,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",72,30.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
34,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,60.0,2,1,1,1,0,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
35,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",72,30.0,2,1,1,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
36,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,30.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
37,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",66,66.0,2,1,1,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
38,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",72,36.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
39,235000000,110.46427,-7.06513,"Tembalang, Semarang",70,30.0,2,1,1,0,0,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
40,235000000,110.46427,-7.06513,"Tembalang, Semarang",120,38.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
41,235000000,110.47,-6.96369,"Genuk, Semarang",63,36.0,2,1,1,0,0,50115,yes,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
42,235000000,110.47,-6.96369,"Genuk, Semarang",60,70.0,2,1,1,0,1,50115,yes,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
43,235000000,110.43109,-7.01638,"Candisari, Semarang",120,400.0,3,3,1,0,0,50257,no,no,no,"-7.01638,110.43109",3.035695734680377,7.116935206636597,5.14470277008433
44,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,36.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
45,235000000,110.36603,-7.08624,"Gunung Pati, Semarang",120,36.0,2,1,1,1,0,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
46,235000000,110.47585,-7.0089,"Pedurungan, Semarang",70,30.0,2,1,1,0,1,50193,yes,no,yes,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
47,235000000,110.47585,-7.0089,"Pedurungan, Semarang",70,30.0,2,1,1,0,1,50193,yes,no,yes,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
