,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,jarak_simpanglima,jarak_bandara
40,235000000,110.46427,-7.06513,Tembalang,120,38.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
41,235000000,110.47,-6.96369,Genuk,63,36.0,2,1,1,0,0,50115,yes,no,no,5.970068367563139,10.249108144313757
42,235000000,110.47,-6.96369,Genuk,60,70.0,2,1,1,0,1,50115,yes,no,no,5.970068367563139,10.249108144313757
43,235000000,110.43109,-7.01638,Candisari,120,400.0,3,3,1,0,0,50257,no,no,no,3.0356957346803766,7.1169352066365965
44,235000000,110.43616,-6.98345,Semarang Timur,60,36.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
45,235000000,110.36603,-7.08624,Gunung Pati,120,36.0,2,1,1,1,0,50229,no,no,no,12.344350062543162,11.923145112478005
46,235000000,110.47585,-7.0089,Pedurungan,70,30.0,2,1,1,0,1,50193,yes,no,yes,6.204417785257691,11.243303578072164
47,235000000,110.47585,-7.0089,Pedurungan,70,30.0,2,1,1,0,1,50193,yes,no,yes,6.204417785257691,11.243303578072164
48,235000000,110.43616,-6.98345,Semarang Timur,70,30.0,2,1,1,0,1,50125,yes,no,yes,1.6410339436634809,6.3835788259335375
49,235000000,110.47,-6.96369,Genuk,60,80.0,1,4,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
50,235000000,110.36603,-7.08624,Gunung Pati,130,36.0,2,1,1,0,1,50229,no,no,no,12.344350062543162,11.923145112478005
51,235000000,110.36603,-7.08624,Gunung Pati,120,36.0,2,1,1,0,1,50229,no,no,no,12.344350062543162,11.923145112478005
52,235000000,110.36603,-7.08624,Gunung Pati,120,36.0,2,1,1,1,1,50229,no,no,no,12.344350062543162,11.923145112478005
53,235000000,110.36603,-7.08624,Gunung Pati,121,36.0,1,1,1,1,1,50229,no,yes,no,12.344350062543162,11.923145112478005
54,235000000,110.42781,-6.9958,Semarang Selatan,80,40.0,2,1,1,0,1,50241,no,no,no,0.8242231279549267,5.745976862427982
55,235000000,110.43616,-6.98345,Semarang Timur,70,30.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
56,235000000,110.43616,-6.98345,Semarang Timur,60,36.0,2,1,1,0,1,50125,no,yes,no,1.6410339436634809,6.3835788259335375
57,235000000,110.43616,-6.98345,Semarang Timur,70,30.0,2,1,2,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
58,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
59,235000000,110.4641152,-7.0651842,Tembalang,60,45.0,2,1,1,0,0,50277,yes,yes,no,9.4623032249648,13.41256919927435
60,235000000,110.47585,-7.0089,Pedurungan,65,30.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
61,235000000,110.38487,-6.97892,Semarang Barat,75,36.0,2,1,1,0,1,50144,no,no,no,4.384759125376058,0.6988443482035506
62,235000000,110.43616,-6.98345,Semarang Timur,98,36.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
63,235000000,110.47585,-7.043217190118,Tembalang,60,30.0,2,1,1,0,1,50272,no,no,no,8.921504875551053,13.420383724511643
64,235000000,110.43616,-6.98345,Semarang Timur,60,60.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
65,235000000,110.43616,-6.98345,Semarang Timur,98,36.0,2,1,1,0,0,50125,no,no,no,1.6410339436634809,6.3835788259335375
66,235000000,110.46427,-7.06513,Tembalang,60,60.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
67,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
68,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
69,235000000,110.46427,-7.06513,Tembalang,72,36.0,2,1,1,0,0,50277,no,no,no,9.465292506239196,13.420383724511643
70,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
71,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
72,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
73,235000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,2,50277,yes,no,no,9.465292506239196,13.420383724511643
74,235000000,110.43616,-6.98345,Semarang Timur,60,36.0,2,1,1,0,1,50125,yes,no,no,1.6410339436634809,6.3835788259335375
75,235000000,110.40624,-7.00436,Gajah Mungkur,60,36.0,2,1,1,0,1,50233,no,yes,no,2.420509337117762,4.139006735375456
76,235000000,110.38752890991,-7.0149660496837,Gajah Mungkur,60,36.0,2,1,1,0,1,50236,no,no,no,4.776058366457328,4.082752290046483
77,235000000,110.47,-6.96369,Genuk,84,45.0,2,1,1,0,1,50115,no,no,no,5.970068367563139,10.249108144313757
78,240000000,110.4641152,-7.0651842,Tembalang,60,36.0,2,1,1,0,0,50277,no,no,no,9.4623032249648,13.41256919927435
79,240000000,110.4641152,-7.0651842,Tembalang,60,36.0,2,1,1,1,0,50277,no,no,no,9.4623032249648,13.41256919927435
80,240000000,110.46427,-7.06513,Tembalang,72,45.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
81,240000000,110.46427,-7.06513,Tembalang,62,62.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
82,240800000,110.46427,-7.06513,Tembalang,66,50.0,2,1,1,0,0,50277,no,no,no,9.465292506239196,13.420383724511643
83,245000000,110.47585,-7.0089,Pedurungan,60,36.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
84,245000000,110.47585,-7.0089,Pedurungan,72,36.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
85,248400000,110.46427,-7.06513,Tembalang,72,36.0,2,1,1,0,0,50277,yes,no,no,9.465292506239196,13.420383724511643
86,250000000,110.47,-6.96369,Genuk,63,63.0,2,1,1,0,1,50115,no,no,no,5.970068367563139,10.249108144313757
87,250000000,110.3662803,-7.086244788,Gunung Pati,120,45.0,2,1,1,0,0,50229,no,no,no,12.335647160279592,11.92614318175868
88,250000000,110.36603,-7.08624,Gunung Pati,120,30.0,2,1,1,0,0,50229,no,no,no,12.344350062543162,11.923145112478005
89,250000000,110.36603,-7.08624,Gunung Pati,77,36.0,2,1,1,0,0,50229,no,no,no,12.344350062543162,11.923145112478005
90,250000000,110.36603,-7.08624,Gunung Pati,120,45.0,2,1,1,1,1,50229,no,no,no,12.344350062543162,11.923145112478005
91,250000000,110.30158,-7.00234,Ngaliyan,60,60.0,2,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
92,250000000,110.43616,-6.98345,Semarang Timur,90,90.0,3,2,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
93,250000000,110.41763,-6.95449,Semarang Utara,100,90.0,2,1,1,0,0,50178,no,no,no,3.989156647148446,5.107790040579067
94,250000000,110.46427,-7.06513,Tembalang,70,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
